date,windsp_cumsum_1day,windsp_cumsum_2day,windsp_cumsum_3day,windsp_cumsum_5day,windsp_cumsum_7day,windsp_cumsum_10day,windsp_cumsum_14day,windsp_cumsum_1day_in,windsp_cumsum_2day_in,windsp_cumsum_3day_in,windsp_cumsum_1day_out,windsp_cumsum_2day_out
2016-05-26,57.95333333333333,127.83333333333333,174.63566666666665,266.7656666666667,378.9223333333333,576.1756666666666,1054.974,53.66833333333334,NA,NA,NA,NA
2016-06-03,67.66499999999999,166.8735,235.3835,399.17516666666666,536.5485,746.6551666666667,938.6091666666666,NA,NA,NA,79.40016666666666,175.08016666666666
2016-06-09,148.87666666666667,272.6116666666667,326.02666666666664,494.8,607.02,871.3918333333334,1158.1768333333332,148.87666666666667,272.6116666666667,NA,NA,NA
2016-06-16,46.502066666666664,130.04873333333333,250.19873333333334,511.2087333333333,667.9070666666667,993.9337333333333,1274.9270666666666,NA,NA,NA,NA,NA
2016-06-23,55.36666666666667,119.52166666666666,226.99666666666667,381.525,473.4216666666667,723.6204,1141.3287333333333,56.375,NA,NA,NA,NA
2016-06-30,60.33,122.72666666666666,218.14,365.92,447.23,674.2266666666667,920.6516666666666,68.35833333333333,NA,NA,NA,NA
2016-07-07,72.515,126.455,172.25833333333333,333.34999999999997,524.795,742.935,972.025,NA,NA,NA,NA,NA
2016-07-14,102.82666666666667,188.35833333333332,242.2133333333333,381.0566666666667,576.2466666666667,748.505,1101.0416666666667,102.82666666666667,NA,NA,NA,NA
2016-07-21,63.275,151.115,248.06,382.5238,535.6304666666666,777.8438,1111.8771333333334,63.60333333333333,153.765,250.78379999999999,NA,NA
2016-07-27,50.721666666666664,144.95499999999998,184.48666666666665,356.895,536.15,808.3604666666666,1111.3321333333333,53.791666666666664,150.80833333333334,NA,NA,NA
2016-08-04,46.625,89.12333333333333,136.815,265.45,377.45666666666665,579.3233333333334,907.2433333333333,45.60166666666667,NA,NA,NA,NA
2016-08-10,53.82333333333333,107.05666666666667,180.84,362.2833333333333,484.18333333333334,643.7133333333334,871.9266666666666,NA,NA,NA,NA,NA
2016-08-15,67.52666666666666,153.47,240.525,396.8016666666667,503.85833333333335,759.085,971.175,67.52666666666666,NA,NA,NA,NA
2016-08-22,112.39666666666666,228.195,307.87166666666667,429.385,625.5226,866.0476,1129.3809333333334,112.39666666666666,NA,NA,NA,NA
2016-08-31,73.27333333333333,131.12166666666667,238.65333333333334,342.855,498.615,763.6066666666667,1080.595,73.27333333333333,NA,NA,NA,NA
2016-09-07,62.36333333333333,145.80333333333334,209.65333333333334,316.14,503.0683333333333,741.7216666666667,1001.6833333333333,NA,NA,NA,73.00999999999999,NA
2016-09-14,99.3,167.62166666666667,230.455,404.3016666666667,517.0699999999999,726.7233333333334,1020.1383333333333,99.3,NA,NA,NA,NA
2016-09-21,64.07166666666667,113.905,156.57833333333332,333.29333333333335,445.30466666666666,675.7596666666667,962.3746666666666,64.07166666666667,NA,NA,NA,NA
2016-09-28,92.77626666666667,144.76793333333333,215.67126666666667,409.35793333333334,549.8479333333333,706.4262666666666,995.1526,NA,NA,NA,92.77626666666667,NA
2016-10-05,38.12833333333333,104.41666666666667,160.86333333333334,324.6433333333333,520.3329333333334,735.2646,1068.9846,NA,NA,NA,NA,NA
